,Discipline,Field,Topic
397,Chemical Sciences,Macromolecular and materials chemistry,Nanochemistry
398,Chemical Sciences,Macromolecular and materials chemistry,Optical properties of materials
399,Chemical Sciences,Macromolecular and materials chemistry,Physical properties of materials
400,Chemical Sciences,Macromolecular and materials chemistry,Polymerisation mechanisms
401,Chemical Sciences,Macromolecular and materials chemistry,Structure and dynamics of materials
402,Chemical Sciences,Macromolecular and materials chemistry,Supramolecular chemistry
403,Chemical Sciences,Macromolecular and materials chemistry,Theory and design of materials
404,Chemical Sciences,Macromolecular and materials chemistry,Macromolecular and materials chemistry 
405,Chemical Sciences,Medicinal and biomolecular chemistry,Biologically active molecules
406,Chemical Sciences,Medicinal and biomolecular chemistry,Biomolecular modelling and design
407,Chemical Sciences,Medicinal and biomolecular chemistry,Characterisation of biological macromolecules
408,Chemical Sciences,Medicinal and biomolecular chemistry,Cheminformatics and quantitative structure-activity relationships
409,Chemical Sciences,Medicinal and biomolecular chemistry,Glycoconjugates
410,Chemical Sciences,Medicinal and biomolecular chemistry,Molecular medicine
411,Chemical Sciences,Medicinal and biomolecular chemistry,Proteins and peptides
412,Chemical Sciences,Medicinal and biomolecular chemistry,Medicinal and biomolecular chemistry 
413,Chemical Sciences,Organic chemistry,Free radical chemistry
414,Chemical Sciences,Organic chemistry,Natural products and bioactive compounds
415,Chemical Sciences,Organic chemistry,Organic chemical synthesis 
416,Chemical Sciences,Organic chemistry,Organic green chemistry
417,Chemical Sciences,Organic chemistry,Physical organic chemistry 
418,Chemical Sciences,Organic chemistry,Organic chemistry n
419,Chemical Sciences,Physical chemistry,Catalysis and mechanisms of reactions
420,Chemical Sciences,Physical chemistry,Chemical thermodynamics and energetics
421,Chemical Sciences,Physical chemistry,Colloid and surface chemistry
422,Chemical Sciences,Physical chemistry,Electrochemistry 
423,Chemical Sciences,Physical chemistry,Molecular imaging (incl. electron microscopy and neutron diffraction)
424,Chemical Sciences,Physical chemistry,Photochemistry
425,Chemical Sciences,Physical chemistry,Reaction kinetics and dynamics 
426,Chemical Sciences,Physical chemistry,Solution chemistry
427,Chemical Sciences,Physical chemistry,Transport properties and non-equilibrium processes
428,Chemical Sciences,Physical chemistry,Physical chemistry 
429,Chemical Sciences,Theoretical and computational chemistry,Computational chemistry
430,Chemical Sciences,Theoretical and computational chemistry,Radiation and matter 
431,Chemical Sciences,Theoretical and computational chemistry,Statistical mechanics in chemistry
432,Chemical Sciences,Theoretical and computational chemistry,Theoretical quantum chemistry
433,Chemical Sciences,Theoretical and computational chemistry,Theoretical and computational chemistry 
434,Chemical Sciences,Other chemical sciences,Forensic chemistry
435,Chemical Sciences,Other chemical sciences,Other chemical sciences 
436,"Commerce, Management, Tourism And Services","Accounting, auditing and accountability",Accounting theory and standards
437,"Commerce, Management, Tourism And Services","Accounting, auditing and accountability",Auditing and accountability
438,"Commerce, Management, Tourism And Services","Accounting, auditing and accountability",Financial accounting 
439,"Commerce, Management, Tourism And Services","Accounting, auditing and accountability",International accounting 
440,"Commerce, Management, Tourism And Services","Accounting, auditing and accountability",Management accounting
441,"Commerce, Management, Tourism And Services","Accounting, auditing and accountability",Not-for-profit accounting and accountability
442,"Commerce, Management, Tourism And Services","Accounting, auditing and accountability",Sustainability accounting and reporting
443,"Commerce, Management, Tourism And Services","Accounting, auditing and accountability",Taxation accounting 
444,"Commerce, Management, Tourism And Services","Accounting, auditing and accountability","Accounting, auditing and accountability "
445,"Commerce, Management, Tourism And Services","Banking, finance and investment",Environment and climate finance
446,"Commerce, Management, Tourism And Services","Banking, finance and investment",Finance
447,"Commerce, Management, Tourism And Services","Banking, finance and investment",Financial econometrics 
448,"Commerce, Management, Tourism And Services","Banking, finance and investment",Financial institutions (incl. banking) 
449,"Commerce, Management, Tourism And Services","Banking, finance and investment",Household finance and financial literacy
450,"Commerce, Management, Tourism And Services","Banking, finance and investment",Insurance studies
451,"Commerce, Management, Tourism And Services","Banking, finance and investment",International finance
452,"Commerce, Management, Tourism And Services","Banking, finance and investment",Investment and risk management
453,"Commerce, Management, Tourism And Services","Banking, finance and investment",Not-for-profit finance and risk
454,"Commerce, Management, Tourism And Services","Banking, finance and investment","Banking, finance and investment "
455,"Commerce, Management, Tourism And Services",Business systems in context,Business analytics 
456,"Commerce, Management, Tourism And Services",Business systems in context,"Business information management (incl. records, knowledge and intelligence)"
457,"Commerce, Management, Tourism And Services",Business systems in context,Business information systems
458,"Commerce, Management, Tourism And Services",Business systems in context,Business systems in context
459,"Commerce, Management, Tourism And Services",Business systems in context,Forensic intelligence
460,"Commerce, Management, Tourism And Services",Business systems in context,Forensic science and management
461,"Commerce, Management, Tourism And Services",Business systems in context,Technology management 
462,"Commerce, Management, Tourism And Services",Business systems in context,Business systems in context 
463,"Commerce, Management, Tourism And Services",Commercial services,Food and hospitality services
464,"Commerce, Management, Tourism And Services",Commercial services,Hospitality management 
465,"Commerce, Management, Tourism And Services",Commercial services,Real estate and valuation services
466,"Commerce, Management, Tourism And Services",Commercial services,Retail
467,"Commerce, Management, Tourism And Services",Commercial services,Sport and leisure management
468,"Commerce, Management, Tourism And Services",Commercial services,Commercial services 
469,"Commerce, Management, Tourism And Services",Human resources and industrial relations,Business and labour history 
470,"Commerce, Management, Tourism And Services",Human resources and industrial relations,Employment equity and diversity
471,"Commerce, Management, Tourism And Services",Human resources and industrial relations,Human resources management
472,"Commerce, Management, Tourism And Services",Human resources and industrial relations,Industrial and employee relations
473,"Commerce, Management, Tourism And Services",Human resources and industrial relations,Occupational and workplace health and safety
474,"Commerce, Management, Tourism And Services",Human resources and industrial relations,Workforce planning
475,"Commerce, Management, Tourism And Services",Human resources and industrial relations,Workplace wellbeing and quality of working life
476,"Commerce, Management, Tourism And Services",Human resources and industrial relations,Human resources and industrial relations 
477,"Commerce, Management, Tourism And Services",Marketing,Consumer behaviour
478,"Commerce, Management, Tourism And Services",Marketing,Consumer-oriented product or service development
479,"Commerce, Management, Tourism And Services",Marketing,Industrial marketing
480,"Commerce, Management, Tourism And Services",Marketing,Marketing communications
481,"Commerce, Management, Tourism And Services",Marketing,Marketing management (incl. strategy and customer relations)
482,"Commerce, Management, Tourism And Services",Marketing,Marketing research methodology
483,"Commerce, Management, Tourism And Services",Marketing,Marketing technology
484,"Commerce, Management, Tourism And Services",Marketing,Marketing theory
485,"Commerce, Management, Tourism And Services",Marketing,Not-for-profit marketing
486,"Commerce, Management, Tourism And Services",Marketing,Pricing (incl. consumer value estimation)
487,"Commerce, Management, Tourism And Services",Marketing,Service marketing
488,"Commerce, Management, Tourism And Services",Marketing,Social marketing
489,"Commerce, Management, Tourism And Services",Marketing,Marketing 
490,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Corporate governance
491,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Corporate social responsibility
492,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Disaster and emergency management
493,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Entrepreneurship
494,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Innovation management
495,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",International business
496,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Leadership
497,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Not-for-profit business and management
498,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Organisation and management theory
499,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Organisational behaviour
500,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Organisational planning and management
501,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Production and operations management
502,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Project management
503,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Public sector organisation and management
504,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Quality management
505,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Small business organisation and management
506,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Stakeholder engagement
507,"Commerce, Management, Tourism And Services","Strategy, management and organisational behaviour",Strategy
